Version	SEQFID	old GCA	HMT-ID	Name	assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date
New GCA	SEQF3713	GCA_000700805.1	HMT-279	Prevotella pasteri	GCA_000700805.1	PRJNA64723	SAMN02849569	JNOS00000000.1	na	997829	997829	Porphyromonas sp. KLE 1280	strain=KLE 1280		latest	Scaffold	Major	Full	2014/06/11	ASM70080v1	Washington University Genome Center	GCF_000700805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/700/805/GCA_000700805.1_ASM70080v1			na
New GCA	SEQF3714	GCA_900459175.1	HMT-594	Streptococcus downei	GCA_900459175.1	PRJEB6403	SAMEA4534871	UHFA00000000.1	representative genome	764290	1317	Streptococcus downei MFe28	strain=NCTC 11391		latest	Contig	Major	Full	2018/08/01	52087_B01	SC	GCF_900459175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/459/175/GCA_900459175.1_52087_B01		assembly from type material	na
Existing	SEQF3682	GCA_018127785.1	HMT-885	Prevotella scopos	GCA_018127785.1	PRJNA282954	SAMN18352205		na	1236518	589437	Prevotella scopos JCM 17725	strain=W2052		latest	Complete Genome	Major	Full	2021/04/22	ASM1812778v1	The Forsyth Institute	GCF_018127785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/127/785/GCA_018127785.1_ASM1812778v1		assembly from type material	na	Complete Genome	3	3
Existing	SEQF2922	GCA_001683355.1	HMT-885	Prevotella scopos	GCA_001683355.1	PRJNA282954	SAMN03897722		representative genome	1236518	589437	Prevotella scopos JCM 17725	strain=W2052		latest	Chromosome	Major	Full	2016/07/11	ASM168335v1	The Forsyth Institute	GCF_001683355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/683/355/GCA_001683355.1_ASM168335v1		assembly from type material	na	Chromosome	15	3
Existing	SEQF2686	GCA_000614285.1	HMT-885	Prevotella scopos	GCA_000614285.1	PRJDB606	SAMD00009021	BAKP00000000.1	na	1236518	589437	Prevotella scopos JCM 17725	strain=JCM 17725		latest	Contig	Major	Full	2014/03/31	ASM61428v1	The University of Tokyo	GCF_000614285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/614/285/GCA_000614285.1_ASM61428v1		assembly from type material	na	Contig	113	0
Existing	SEQF2787	GCA_000488855.1	HMT-557	Peptostreptococcaceae [G-9] [Eubacterium] brachy	GCA_000488855.1	PRJNA198877	SAMN02436867	AXUD00000000.1	na	1321814	35517	Eubacterium brachy ATCC 33089	strain=ATCC 33089		latest	Scaffold	Major	Full	2013/10/29	ASM48885v1	Washington University	GCF_000488855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/488/855/GCA_000488855.1_ASM48885v1	genus undefined; not used as type		na	Scaffold	27	0
Existing	SEQF2681	GCA_000613625.1	HMT-665	Prevotella marshii	GCA_000613625.1	PRJDB576	SAMD00009951	BAJI00000000.1	na	862515	189722	Prevotella marshii DSM 16973 = JCM 13450	strain=JCM 13450		latest	Contig	Major	Full	2014/03/31	ASM61362v1	The University of Tokyo	GCF_000613625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/613/625/GCA_000613625.1_ASM61362v1		assembly from type material	na	Contig	80	0
Existing	SEQF1915	GCA_000146675.1	HMT-665	Prevotella marshii	GCA_000146675.1	PRJNA50531	SAMN00117235	AEEI00000000.1	representative genome	862515	189722	Prevotella marshii DSM 16973 = JCM 13450	strain=DSM 16973		latest	Scaffold	Major	Full	2010/09/03	ASM14667v1	Baylor College of Medicine	GCF_000146675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/675/GCA_000146675.1_ASM14667v1		assembly from type material	na	Scaffold	79	1
New GCA	SEQF3715	GCA_022749495.1	HMT-099	Neisseria macacae	GCA_022749495.1	PRJNA815950	SAMN26652324		representative genome	997348	496	Neisseria macacae ATCC 33926	strain=ATCC 33926		latest	Complete Genome	Major	Full	2022/03/29	ASM2274949v1	Korea University	GCF_022749495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/749/495/GCA_022749495.1_ASM2274949v1		assembly from type material	na	Complete Genome		1
New GCA	SEQF3716	GCA_902374455.1	HMT-099	Neisseria macacae	GCA_902374455.1	PRJEB33885	SAMEA5850884	CABKQF000000000.1	na	496	496	Neisseria macacae		MGYG-HGUT-01381	latest	Scaffold	Major	Full	2019/08/16	MGYG-HGUT-01381	EMG	GCF_902374455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/374/455/GCA_902374455.1_MGYG-HGUT-01381			na	Scaffold	198	0
Existing	SEQF2876	GCA_000220865.1	HMT-099	Neisseria macacae	GCA_000220865.1	PRJNA64729	SAMN02299447	AFQE00000000.1	na	997348	496	Neisseria macacae ATCC 33926	strain=ATCC 33926		latest	Scaffold	Major	Full	2011/07/18	ASM22086v1	Baylor College of Medicine	GCF_000220865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/220/865/GCA_000220865.1_ASM22086v1	unverified source organism; not used as type		na	Scaffold	198	0
Existing	SEQF3051	GCA_002998435.1	HMT-465	Bacteroides zoogleoformans	GCA_002998435.1	PRJNA282954	SAMN08472433		representative genome	28119	28119	Bacteroides zoogleoformans	strain=ATCC 33285		latest	Complete Genome	Major	Full	2018/03/14	ASM299843v1	The Forsyth Institute	GCF_002998435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/998/435/GCA_002998435.1_ASM299843v1		assembly from type material	na	Complete Genome		1
